Timestamp,"By clicking ""I Agree"" below, you confirm that:
You have read and understood the purpose of this survey.
You consent to participate in this survey.",  1. What is your age?   ,  2. What is your gender?  ,  3 How do you identify your ethnic background? (Select all that apply)  ,  4. What is your current employment status?   ,  5. How often do you feel that your workload is difficult to manage?  ,  6. How frequently do you experience feelings of burnout or exhaustion related to work?  ,"  7. In the past year, have you taken any days off specifically due to stress, anxiety, or mental health reasons?   ","  8. On an average, how many hours do you sleep per night?  ","  9. How many hours of physical activity (e.g., exercise, walking) do you engage in per week?   ",  10. Do you find it challenging to relax after work or other responsibilities?   ,  11. Have you experienced significant changes in your appetite or weight within the past three months?   ,  12. How often do you engage in the following behaviors as a response to stress or for relaxation? (Select all that apply)    [Alcohol Consumption],  12. How often do you engage in the following behaviors as a response to stress or for relaxation? (Select all that apply)    [Smoking],"  12. How often do you engage in the following behaviors as a response to stress or for relaxation? (Select all that apply)    [Caffeine Intake (e.g., coffee, tea,energy drinks)]",  12. How often do you engage in the following behaviors as a response to stress or for relaxation? (Select all that apply)    [Consumption of Sugary or High-Calorie Snacks],"  13. How often do you experience feelings of sadness, hopelessness, or mood swings?   ",15. Have you been diagnosed with a mental health disorder?  ,"14. Are you currently experiencing any mental health-related challenges (e.g., anxiety, depression, bipolar disorder, OCD, Sleep disorder,Postpartum, etc.)? ","  16. Do you have a family history of mental health disorders(e.g., Alzheimer's,Dementia,Sleep disorders ,Postpartum,Addiction to alcohol and drugs, etc.)?   ",  17. How satisfied are you with your current work-life balance?  ,  18. What coping strategies do you use to manage mental health or stress? (Select all that apply)  ,"  19. When faced with stress, how likely are you to seek help from a mental health professional?   ","  20. How often do you engage in activities specifically for relaxation (e.g., meditation, reading, etc)?  "
1/3/2025 12:36:00,I Agree,25-34,Male,"Asian (e.g., China, India, Japan, Philippines)",Part-time,Sometimes,Sometimes,No,8 - 9 hours,Less than 1 hour,Sometimes,Yes,Never,Never,Rarely,Occasionally,Weekly,No,No,No,Neutral,"Physical activity, Social support, Meditation",Likely,Weekly
1/3/2025 13:05:11,I Agree,25-34,Male,"Asian (e.g., China, India, Japan, Philippines)",Self-employed,Never,Never,No,8 - 9 hours,Less than 1 hour,Never,No,Regularly,Regularly,Regularly,Regularly,Rarely,Yes,Yes,Yes,Very satisfied,Physical activity,Very likely,Daily
1/3/2025 13:33:57,I Agree,25-34,Male,"Asian (e.g., China, India, Japan, Philippines)",Part-time,Rarely,Never,No,6 - 7 hours,Less than 1 hour,Never,Yes,Regularly,Regularly,Regularly,Regularly,Weekly,Prefer not to say,Prefer not to say,No,Satisfied,"Avoidance, Other",Very unlikely,Rarely
1/3/2025 13:36:57,I Agree,18-24,Female,"Asian (e.g., China, India, Japan, Philippines)",Part-time,Sometimes,Sometimes,No,6 - 7 hours,Less than 1 hour,Sometimes,Yes,Rarely,Never,Occasionally,Occasionally,Rarely,No,No,No,Neutral,Other,Very unlikely,Rarely
1/3/2025 13:38:54,I Agree,18-24,Female,"Asian (e.g., China, India, Japan, Philippines)",Part-time,Sometimes,Sometimes,No,6 - 7 hours,Less than 1 hour,Sometimes,Yes,Rarely,Never,Occasionally,Occasionally,Never,No,No,No,Neutral,Other,Very unlikely,Rarely
1/3/2025 16:10:35,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Student,Often,Often,No,8 - 9 hours,Less than 1 hour,Rarely,Yes,Never,Never,Never,Regularly,Weekly,No,Yes,No,Neutral,Social support,Neutral,Monthly
1/3/2025 18:42:06,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Part-time,Sometimes,Rarely,No,6 - 7 hours,Less than 1 hour,Sometimes,No,Rarely,Never,Occasionally,Occasionally,Monthly,No,No,No,Neutral,Physical activity,Very unlikely,Rarely
1/3/2025 19:04:31,I Agree,18-24,Female,"Asian (e.g., China, India, Japan, Philippines)",Student,Sometimes,Often,Yes,6 - 7 hours,3 - 4 hours,Often,Yes,Never,Never,Regularly,Regularly,Daily,No,Yes,No,Neutral,Social support,Neutral,Monthly
1/3/2025 19:24:00,I Agree,18-24,Male,"African (e.g., Nigeria, Kenya, Egypt)",Student,Sometimes,Often,No,6 - 7 hours,3 - 4 hours,Often,Yes,Never,Never,Never,Occasionally,Monthly,No,No,No,Satisfied,"Physical activity, Social support, Journaling, Avoidance",Unlikely,Daily
1/3/2025 19:43:42,I Agree,25-34,Male,"Asian (e.g., China, India, Japan, Philippines)",Unemployed,Rarely,Sometimes,Not applicable,6 - 7 hours,5 - 6 hours,Often,Yes,Occasionally,Regularly,Regularly,Regularly,Weekly,No,No,No,Satisfied,"Physical activity, Social support, Avoidance",Neutral,Rarely
1/3/2025 19:56:40,I Agree,25-34,Male,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Never,Rarely,No,8 - 9 hours,1 - 2 hours,Never,Yes,Rarely,Rarely,Occasionally,Rarely,Weekly,No,No,No,Very satisfied,Social support,Neutral,Daily
1/3/2025 20:15:35,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Student,Sometimes,Sometimes,Yes,6 - 7 hours,Less than 1 hour,Rarely,No,Never,Never,Regularly,Occasionally,Monthly,No,No,No,Neutral,Journaling,Unlikely,Weekly
1/3/2025 20:41:00,I Agree,18-24,Female,"Asian (e.g., China, India, Japan, Philippines)",Student,Sometimes,Often,Yes,6 - 7 hours,More than 6 hours,Always,Yes,Never,Never,Occasionally,Rarely,Daily,No,No,No,Neutral,"Physical activity, Social support, Other",Neutral,Daily
1/3/2025 21:01:48,I Agree,25-34,Male,"Asian (e.g., China, India, Japan, Philippines)",Part-time,Sometimes,Sometimes,No,6 - 7 hours,Less than 1 hour,Sometimes,Yes,Occasionally,Rarely,Regularly,Occasionally,Weekly,No,No,No,Dissatisfied,Physical activity,Unlikely,Weekly
1/3/2025 21:35:45,I Agree,18-24,Female,"Asian (e.g., China, India, Japan, Philippines)",Part-time,Sometimes,Often,Yes,6 - 7 hours,3 - 4 hours,Often,Yes,Never,Never,Regularly,Occasionally,Weekly,No,Yes,No,Dissatisfied,"Avoidance, Other",Likely,Weekly
1/3/2025 21:37:42,I Agree,55 and above,Male,"Asian (e.g., China, India, Japan, Philippines)",Retired,Never,Never,Yes,8 - 9 hours,1 - 2 hours,Rarely,Yes,Regularly,Regularly,Regularly,Rarely,Daily,Yes,Yes,Yes,Dissatisfied,"Physical activity, Social support, Avoidance",Unlikely,Daily
1/3/2025 21:40:41,I Agree,35-44,Non-binary/Third gender,"Indigenous (e.g., Native American, First Nations, Aboriginal)",Full-time,Always,Always,Yes,Less than 4 hours,Less than 1 hour,Always,Yes,Regularly,Regularly,Regularly,Regularly,Daily,Yes,Yes,Yes,Very dissatisfied,Avoidance,Very unlikely,Rarely
1/3/2025 21:50:59,I Agree,25-34,Male,"Asian (e.g., China, India, Japan, Philippines)",Part-time,Sometimes,Sometimes,No,6 - 7 hours,3 - 4 hours,Sometimes,Yes,Rarely,Never,Occasionally,Occasionally,Rarely,No,No,No,Satisfied,"Physical activity, Social support, Journaling",Likely,Weekly
1/3/2025 21:52:02,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Self-employed,Sometimes,Rarely,No,6 - 7 hours,3 - 4 hours,Never,No,Never,Never,Occasionally,Rarely,Monthly,No,No,No,Satisfied,"Physical activity, Social support, Therapy, Avoidance",Likely,Rarely
1/3/2025 21:57:02,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Sometimes,Yes,More than 9 hours,Less than 1 hour,Rarely,No,Never,Never,Regularly,Occasionally,Weekly,No,Yes,No,Neutral,Physical activity,Very unlikely,Rarely
1/3/2025 22:04:26,I Agree,18-24,Male,"Asian (e.g., China, India, Japan, Philippines)",Student,Not applicable,Not applicable,Not applicable,6 - 7 hours,1 - 2 hours,Rarely,No,Occasionally,Never,Regularly,Never,Weekly,No,Prefer not to say,No,Neutral,Physical activity,Very unlikely,Rarely
1/3/2025 22:04:34,I Agree,25-34,Male,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Often,Often,Yes,4 - 5 hours,More than 6 hours,Always,Yes,Occasionally,Regularly,Regularly,Regularly,Daily,No,No,No,Dissatisfied,Physical activity,Unlikely,Daily
1/3/2025 22:11:25,I Agree,18-24,Male,"Asian (e.g., China, India, Japan, Philippines)",Student,Rarely,Often,No,8 - 9 hours,More than 6 hours,Always,No,Never,Never,Regularly,Occasionally,Rarely,No,No,No,Neutral,Physical activity,Unlikely,Weekly
1/3/2025 22:23:50,I Agree,35-44,Male,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Rarely,No,6 - 7 hours,5 - 6 hours,Rarely,No,Occasionally,,Regularly,Occasionally,Rarely,No,No,No,Satisfied,Social support,Unlikely,Daily
1/3/2025 23:08:04,I Agree,18-24,Male,"Asian (e.g., China, India, Japan, Philippines)",Student,Not applicable,Not applicable,Not applicable,8 - 9 hours,1 - 2 hours,Not Applicable,Not Applicable,Never,Never,Never,Never,Never,No,No,No,Very satisfied,"Physical activity, Other",,Never
1/3/2025 23:08:35,I Agree,25-34,Male,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Never,Never,No,6 - 7 hours,More than 6 hours,Never,No,Never,Never,Regularly,Regularly,Rarely,No,No,No,Neutral,Other,Very unlikely,Never
1/3/2025 23:09:25,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Part-time,Often,Often,Yes,6 - 7 hours,3 - 4 hours,Sometimes,Yes,Never,Never,Occasionally,Occasionally,Weekly,No,No,No,Dissatisfied,Other,Very unlikely,Rarely
1/3/2025 23:31:46,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Never,Sometimes,No,8 - 9 hours,Less than 1 hour,Sometimes,No,Never,Never,Never,Never,Rarely,No,No,No,Neutral,Journaling,Neutral,Rarely
1/3/2025 23:36:36,I Agree,25-34,Male,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Rarely,Rarely,No,Less than 4 hours,1 - 2 hours,Never,No,Occasionally,Occasionally,Occasionally,Occasionally,Daily,No,Yes,No,Neutral,Physical activity,Neutral,Rarely
1/4/2025 0:02:28,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Part-time,Sometimes,Rarely,No,6 - 7 hours,Less than 1 hour,Never,No,Never,Never,Never,Never,Monthly,No,No,No,Neutral,"Social support, Avoidance",Neutral,Weekly
1/4/2025 0:16:13,I Agree,25-34,Male,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Often,Often,Yes,6 - 7 hours,1 - 2 hours,Often,Yes,Rarely,Never,Regularly,Occasionally,Rarely,No,No,No,Dissatisfied,Physical activity,Very unlikely,Rarely
1/4/2025 0:17:28,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Self-employed,Rarely,Sometimes,Not applicable,4 - 5 hours,1 - 2 hours,Sometimes,No,,,Occasionally,Occasionally,Monthly,No,Yes,Yes,Neutral,"Social support, Other",Likely,Rarely
1/4/2025 0:51:26,I Agree,18-24,Female,"Asian (e.g., China, India, Japan, Philippines)",Student,Not applicable,Not applicable,Not applicable,6 - 7 hours,3 - 4 hours,Not Applicable,Yes,,,,Occasionally,Monthly,No,No,No,Satisfied,"Physical activity, Meditation, Journaling",Very unlikely,Weekly
1/4/2025 2:38:00,I Agree,18-24,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Sometimes,Yes,6 - 7 hours,1 - 2 hours,Rarely,Yes,Never,Never,Regularly,Regularly,Weekly,No,No,Yes,Satisfied,Avoidance,Neutral,Weekly
1/4/2025 4:27:55,I Agree,18-24,Male,"Asian (e.g., China, India, Japan, Philippines)",Student,Rarely,Rarely,No,8 - 9 hours,Less than 1 hour,Never,No,,,Regularly,,Rarely,No,No,No,Neutral,Other,Very unlikely,Never
1/4/2025 6:31:39,I Agree,18-24,Male,"Asian (e.g., China, India, Japan, Philippines)",Student,Not applicable,Not applicable,Not applicable,8 - 9 hours,Less than 1 hour,Not Applicable,No,Rarely,Never,Occasionally,Regularly,Rarely,No,No,No,Neutral,"Physical activity, Meditation, Journaling",Neutral,Daily
1/4/2025 7:30:44,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Self-employed,Sometimes,Rarely,Yes,6 - 7 hours,Less than 1 hour,Never,Yes,Never,Never,Rarely,Occasionally,Monthly,No,No,No,Satisfied,Other,Likely,Never
1/4/2025 7:33:14,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Self-employed,Sometimes,Sometimes,Yes,6 - 7 hours,1 - 2 hours,Sometimes,No,Never,Never,Regularly,Occasionally,Weekly,No,Yes,No,Neutral,"Physical activity, Social support",Very unlikely,Weekly
1/5/2025 0:38:27,I Agree,35-44,Female,"Caucasian (e.g., United States, Canada, United Kingdom, Germany)",Student,Sometimes,Sometimes,Not applicable,6 - 7 hours,5 - 6 hours,Rarely,No,Rarely,Never,Never,Occasionally,Monthly,No,No,Yes,Neutral,Other,Unlikely,Never
1/5/2025 2:19:29,I Agree,18-24,Female,"Asian (e.g., China, India, Japan, Philippines)",Student,Never,Never,Yes,8 - 9 hours,5 - 6 hours,Never,No,Rarely,Never,Regularly,Regularly,Rarely,No,No,No,Satisfied,"Physical activity, Social support",,Rarely
1/5/2025 4:01:42,I Agree,18-24,Female,"Asian (e.g., China, India, Japan, Philippines)",Part-time,Rarely,Sometimes,No,6 - 7 hours,3 - 4 hours,Sometimes,Yes,Rarely,Never,Regularly,Occasionally,Monthly,No,No,Yes,Satisfied,"Social support, Meditation, Other",Unlikely,Daily
1/5/2025 9:40:23,I Agree,25-34,Male,"Asian (e.g., China, India, Japan, Philippines)",Student,Sometimes,Sometimes,No,,Less than 1 hour,Sometimes,No,Never,Never,Regularly,Regularly,Rarely,No,No,No,Neutral,"Physical activity, Social support, Meditation",Unlikely,Weekly
1/5/2025 12:18:24,I Agree,25-34,Male,"Asian (e.g., China, India, Japan, Philippines)",Student,Sometimes,Often,No,6 - 7 hours,5 - 6 hours,Sometimes,Yes,Never,Never,Regularly,Occasionally,Monthly,No,No,No,Neutral,Avoidance,Unlikely,Monthly
1/5/2025 22:42:40,I Agree,45-54,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Never,Not applicable,No,6 - 7 hours,Less than 1 hour,Never,Yes,,,Regularly,Rarely,Never,No,No,No,Very satisfied,Physical activity,Likely,Daily
1/6/2025 10:32:13,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Sometimes,Yes,8 - 9 hours,Less than 1 hour,Often,Yes,Never,Never,Occasionally,Never,Monthly,No,Prefer not to say,No,Dissatisfied,"Meditation, Journaling, Other",Neutral,Weekly
1/6/2025 11:11:16,I Agree,35-44,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Often,Sometimes,Yes,6 - 7 hours,3 - 4 hours,Often,Yes,Never,Never,Occasionally,Rarely,Weekly,No,Yes,No,Neutral,"Physical activity, Social support, Meditation, Therapy, Journaling",Very likely,Weekly
1/6/2025 11:24:53,I Agree,35-44,Male,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Never,Never,No,More than 9 hours,5 - 6 hours,Always,Not Applicable,,,Regularly,,Rarely,Prefer not to say,Prefer not to say,Prefer not to say,Very satisfied,Social support,Very likely,Never
1/6/2025 11:37:20,I Agree,45-54,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Rarely,Rarely,No,6 - 7 hours,5 - 6 hours,Rarely,No,Never,Never,Rarely,Never,Rarely,No,No,No,Satisfied,Physical activity,Neutral,Daily
1/6/2025 12:06:41,I Agree,45-54,Male,"Asian (e.g., China, India, Japan, Philippines)",Self-employed,Sometimes,Sometimes,No,6 - 7 hours,1 - 2 hours,Never,No,Never,Never,Never,Never,Never,No,No,No,Neutral,Physical activity,Neutral,Never
1/6/2025 15:34:19,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Part-time,Sometimes,Sometimes,Yes,8 - 9 hours,1 - 2 hours,Never,No,Occasionally,Never,Occasionally,Occasionally,Rarely,No,No,No,Neutral,Social support,Very unlikely,Monthly
1/6/2025 20:22:21,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Rarely,Yes,4 - 5 hours,1 - 2 hours,Sometimes,Yes,,,,Rarely,Rarely,No,Yes,No,Dissatisfied,Meditation,Neutral,Daily
1/6/2025 20:25:53,I Agree,18-24,Female,"Asian (e.g., China, India, Japan, Philippines)",Student,Sometimes,Sometimes,No,6 - 7 hours,Less than 1 hour,Rarely,No,Never,Never,Regularly,Occasionally,Rarely,No,No,No,Neutral,Other,Very unlikely,Rarely
1/6/2025 20:26:01,I Agree,25-34,Male,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Never,No,6 - 7 hours,Less than 1 hour,Never,No,Occasionally,Rarely,Rarely,Rarely,Rarely,No,No,No,Neutral,Other,Very unlikely,Never
1/6/2025 20:40:56,I Agree,25-34,Male,"Asian (e.g., China, India, Japan, Philippines)",Student,Often,Often,Yes,6 - 7 hours,Less than 1 hour,Sometimes,Yes,Never,Never,Occasionally,Occasionally,Rarely,Yes,Yes,No,Neutral,Other,Likely,Rarely
1/6/2025 20:53:33,I Agree,25-34,Male,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Sometimes,Yes,6 - 7 hours,1 - 2 hours,Rarely,No,Never,Never,Rarely,Rarely,Rarely,No,No,No,Neutral,Avoidance,Very unlikely,Monthly
1/6/2025 20:59:00,I Agree,25-34,Male,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Never,Often,No,6 - 7 hours,1 - 2 hours,Never,No,Never,Never,Rarely,Occasionally,Rarely,No,No,No,Neutral,Physical activity,Neutral,Rarely
1/6/2025 21:00:56,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Rarely,No,6 - 7 hours,1 - 2 hours,Never,No,Never,Never,Rarely,Never,Rarely,No,No,No,Satisfied,Other,Very unlikely,Weekly
1/6/2025 21:02:41,I Agree,25-34,Male,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Never,No,8 - 9 hours,3 - 4 hours,Sometimes,No,Never,Never,Never,Never,Rarely,No,No,No,Neutral,Other,Neutral,Daily
1/6/2025 21:03:50,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Student,Often,Often,Yes,4 - 5 hours,1 - 2 hours,Sometimes,Yes,Occasionally,Regularly,Regularly,Occasionally,Daily,Yes,Yes,Yes,Very dissatisfied,"Meditation, Therapy, Journaling, Avoidance",Unlikely,Rarely
1/6/2025 21:04:02,I Agree,25-34,Male,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Never,Never,No,8 - 9 hours,1 - 2 hours,Sometimes,No,Never,Never,Never,Never,Never,No,Prefer not to say,No,Very satisfied,Physical activity,Unlikely,Weekly
1/6/2025 21:05:16,I Agree,18-24,Female,"Asian (e.g., China, India, Japan, Philippines)",Student,Sometimes,Sometimes,No,More than 9 hours,Less than 1 hour,Rarely,Yes,Never,Never,Regularly,Regularly,Rarely,No,No,No,Neutral,Other,Neutral,Daily
1/6/2025 21:06:57,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Sometimes,No,6 - 7 hours,More than 6 hours,Rarely,No,Rarely,Never,Occasionally,Occasionally,Monthly,No,No,No,Satisfied,"Physical activity, Avoidance",Unlikely,Monthly
1/6/2025 21:30:25,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Rarely,Never,No,6 - 7 hours,Less than 1 hour,Never,No,,,Regularly,Regularly,Weekly,No,No,No,Satisfied,Other,,Rarely
1/6/2025 21:32:11,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Part-time,Rarely,Sometimes,Yes,6 - 7 hours,Less than 1 hour,Sometimes,No,,,Regularly,Occasionally,Weekly,No,Prefer not to say,No,Satisfied,Avoidance,Unlikely,Rarely
1/6/2025 21:36:27,I Agree,35-44,Male,"Asian (e.g., China, India, Japan, Philippines)",Self-employed,Rarely,Sometimes,Yes,6 - 7 hours,1 - 2 hours,Sometimes,Yes,Never,Never,Never,Occasionally,Weekly,No,No,No,Neutral,Other,Very unlikely,Rarely
1/6/2025 21:36:48,I Agree,18-24,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Sometimes,Yes,8 - 9 hours,Less than 1 hour,Rarely,Yes,Never,Never,Never,Never,Monthly,No,Yes,No,Dissatisfied,Other,Neutral,Weekly
1/6/2025 21:40:59,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Sometimes,No,8 - 9 hours,Less than 1 hour,Rarely,Yes,Rarely,Rarely,Regularly,Regularly,Daily,No,No,No,Neutral,Avoidance,Very unlikely,Never
1/6/2025 21:43:18,I Agree,25-34,Male,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Sometimes,Yes,6 - 7 hours,Less than 1 hour,Rarely,Yes,Rarely,,Occasionally,Occasionally,Rarely,No,No,No,Neutral,"Physical activity, Social support",Likely,Daily
1/6/2025 21:48:13,I Agree,18-24,Female,"Asian (e.g., China, India, Japan, Philippines)",Student,Sometimes,Often,Yes,4 - 5 hours,3 - 4 hours,Always,Yes,Occasionally,Occasionally,Regularly,Occasionally,Monthly,No,Yes,No,Dissatisfied,"Avoidance, Other",Unlikely,Rarely
1/6/2025 21:56:01,I Agree,35-44,Female,"Asian (e.g., China, India, Japan, Philippines)",Part-time,Sometimes,Sometimes,Not applicable,6 - 7 hours,Less than 1 hour,Often,Yes,,,Occasionally,,Monthly,No,No,No,Neutral,Other,Very unlikely,Rarely
1/6/2025 22:19:10,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Self-employed,Never,Often,No,6 - 7 hours,Less than 1 hour,Rarely,Yes,Never,Never,Regularly,Rarely,Weekly,No,No,No,Satisfied,Other,Very unlikely,Weekly
1/6/2025 22:38:22,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Sometimes,No,6 - 7 hours,Less than 1 hour,Never,Yes,Never,Never,Regularly,Occasionally,Rarely,No,Yes,No,Satisfied,Other,Very unlikely,Daily
1/6/2025 23:05:52,I Agree,18-24,Male,"Asian (e.g., China, India, Japan, Philippines)",Student,Often,Sometimes,Yes,8 - 9 hours,Less than 1 hour,Sometimes,Yes,Rarely,Rarely,Regularly,Occasionally,Weekly,No,Prefer not to say,No,Neutral,"Physical activity, Social support, Other",Very unlikely,Rarely
1/6/2025 23:06:28,I Agree,35-44,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Rarely,Always,No,6 - 7 hours,Less than 1 hour,Rarely,Yes,Never,Never,Regularly,Rarely,Rarely,No,No,No,Satisfied,Social support,Neutral,Rarely
1/6/2025 23:34:36,I Agree,18-24,Male,"Asian (e.g., China, India, Japan, Philippines)",Student,Sometimes,Rarely,No,4 - 5 hours,5 - 6 hours,Sometimes,No,Rarely,Never,Occasionally,Regularly,Rarely,No,No,No,Neutral,Physical activity,Very unlikely,Rarely
1/7/2025 0:08:52,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Self-employed,Sometimes,Often,No,6 - 7 hours,Less than 1 hour,Rarely,Yes,Never,Never,Occasionally,Occasionally,Monthly,No,No,No,Neutral,Physical activity,Very unlikely,Monthly
1/7/2025 0:18:25,I Agree,35-44,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Never,Rarely,No,6 - 7 hours,1 - 2 hours,Never,No,Never,Never,Never,Never,Rarely,No,No,No,Very satisfied,,,Daily
1/7/2025 0:21:29,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Rarely,Yes,8 - 9 hours,Less than 1 hour,Sometimes,Yes,Never,Never,Occasionally,Never,Monthly,No,No,No,Neutral,"Meditation, Journaling, Avoidance",Unlikely,Daily
1/7/2025 0:23:44,I Agree,18-24,Male,"Asian (e.g., China, India, Japan, Philippines)",Student,Sometimes,Sometimes,Yes,4 - 5 hours,1 - 2 hours,Sometimes,Yes,Rarely,Never,Occasionally,Rarely,Daily,Prefer not to say,Yes,No,Neutral,"Therapy, Journaling, Avoidance",Unlikely,Daily
1/7/2025 0:31:42,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Rarely,No,8 - 9 hours,Less than 1 hour,Never,No,,,Occasionally,Occasionally,Monthly,No,No,No,Neutral,Social support,Very unlikely,Rarely
1/7/2025 0:46:38,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Self-employed,Rarely,Sometimes,Yes,6 - 7 hours,Less than 1 hour,Always,No,Never,Never,Never,Never,Weekly,No,Yes,No,Dissatisfied,Physical activity,Likely,Daily
1/7/2025 0:55:12,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Self-employed,Often,Sometimes,Yes,6 - 7 hours,Less than 1 hour,Never,No,Never,Never,Regularly,Rarely,Rarely,No,No,No,Dissatisfied,"Avoidance, Other",Neutral,Rarely
1/7/2025 0:56:14,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Often,Sometimes,Yes,6 - 7 hours,1 - 2 hours,Rarely,Yes,Never,Never,Never,Never,Daily,Yes,Yes,No,Neutral,Other,Neutral,Rarely
1/7/2025 1:09:56,I Agree,18-24,Female,"Asian (e.g., China, India, Japan, Philippines)",Student,,,,6 - 7 hours,1 - 2 hours,Sometimes,Yes,,,Occasionally,Regularly,Daily,No,No,No,Neutral,"Physical activity, Social support, Therapy",Very likely,Daily
1/7/2025 1:26:33,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Often,Sometimes,No,6 - 7 hours,1 - 2 hours,Often,Yes,Never,Never,Rarely,Rarely,Weekly,No,Yes,Yes,Neutral,"Physical activity, Social support, Meditation",Neutral,Daily
1/7/2025 1:37:12,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Unemployed,Not applicable,Not applicable,Not applicable,8 - 9 hours,Less than 1 hour,Not Applicable,Yes,,,Rarely,,Weekly,No,No,No,,Physical activity,Likely,Weekly
1/7/2025 2:11:12,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Rarely,Rarely,No,6 - 7 hours,3 - 4 hours,Often,No,Never,Never,Regularly,Occasionally,Monthly,No,No,No,Neutral,"Physical activity, Social support, Other",Unlikely,Weekly
1/7/2025 2:56:30,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Rarely,Yes,8 - 9 hours,Less than 1 hour,Sometimes,Yes,Never,Never,Regularly,Rarely,Rarely,No,No,Yes,Satisfied,"Avoidance, Other",Unlikely,Rarely
1/7/2025 3:08:38,I Agree,25-34,Male,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Sometimes,Not applicable,6 - 7 hours,Less than 1 hour,Never,Yes,,,,Rarely,Weekly,Yes,Yes,No,Dissatisfied,Other,Unlikely,Never
1/7/2025 4:09:23,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Unemployed,Sometimes,Never,Yes,4 - 5 hours,Less than 1 hour,Never,No,Never,Never,Never,Rarely,Rarely,No,Yes,Prefer not to say,Dissatisfied,"Physical activity, Other",Unlikely,Rarely
1/7/2025 4:26:35,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Not applicable,Not applicable,No,8 - 9 hours,1 - 2 hours,Never,No,,,,Occasionally,Rarely,No,No,No,Satisfied,"Physical activity, Other",Very unlikely,Rarely
